id,organisation_name,channel_name,address,block_number,street_name,building_name,postcode,latitude,longitude,operating_hours,contact,website,categories_accepted,type,remarks,channel_of_reuse,
159,ALBA E-waste Smart Recycling Pte Ltd,Fairprice @ Depot Heights Shopping Centre,"108 Depot Rd, Depot Heights Shopping Centre, #01-01 , Singapore 100108",108,Depot Rd,"Depot Heights Shopping Centre, #01-01",100108,1.28096680702384,103.810298189643,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
160,ALBA E-waste Smart Recycling Pte Ltd,Depot Heights Shopping Centre,"108 Depot Road, Depot Heights Shopping Centre, Singapore 100108",108,Depot Road,Depot Heights Shopping Centre,100108,1.28096680702384,103.810298189643,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
161,ALBA E-waste Smart Recycling Pte Ltd,Fairprice @ 28 Dover Crescent,"28 Dover Crescent,  28 Dover Crescent, #01-83 , Singapore 130028",28,Dover Crescent,"28 Dover Crescent, #01-83",130028,1.30446092675742,103.781779696748,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
162,ALBA E-waste Smart Recycling Pte Ltd,SIT @ Dover,"10 Dover Drive, SIT @ Dover, Main Lobby, Singapore 138683",10,Dover Drive,"SIT @ Dover, Main Lobby",138683,1.30100873824913,103.780125250887,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
163,ALBA E-waste Smart Recycling Pte Ltd,Cold Storage @ Sime Darby,"896 Dunearn Road, #02-01, Singapore 589472",896,Dunearn Road,"896 Dunearn Road, #02-01",589472,1.33664023193956,103.783743083728,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
164,ALBA E-waste Smart Recycling Pte Ltd,Fairprice @ Katong Village Hotel,"30 East Coast Rd, Katong Village Hotel, #01-06/07/08/09, Singapore 428751",30,East Coast Rd,"Katong Village Hotel, #01-06/07/08/09",428751,1.30386120759163,103.902871405205,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
165,ALBA E-waste Smart Recycling Pte Ltd,Punggol Oasis RC,"176C Edgefield Plains, Punggol Oasis RC, #01-569, Void Deck, Singapore 821175",176C,Edgefield Plains,"Punggol Oasis RC, #01-569, Void Deck",821175,1.39740421637591,103.908973749809,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
166,ALBA E-waste Smart Recycling Pte Ltd,Giant @ Waterway Banks,"671 Edgefield Plains, Singapore 820671",671,Edgefield Plains,,820671,1.40566048045603,103.911991277154,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
167,ALBA E-waste Smart Recycling Pte Ltd,Sheng Siong @ 623 Elias Mall,"623 Elias Road, #B1-01, Singapore 510623",623,Elias Road,"623 Elias Mall, #B1-01",510623,1.37790533095468,103.942335820680,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
168,ALBA E-waste Smart Recycling Pte Ltd,Elias Mall,"623 Elias Road, Elias Mall, Main Entrance, Singapore 510623",623,Elias Road,"Elias Mall, Main Entrance",510623,1.37790533095468,103.942335820680,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
169,ALBA E-waste Smart Recycling Pte Ltd,Cold Storage @ Altez (Icon Village),"16 Enggor Street, #01-05, Singapore 79717",16,Enggor Street,"16 Enggor Street, #01-05",79717,-1.00000000000000,-1.000000000000,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
170,ALBA E-waste Smart Recycling Pte Ltd,Wisma Geylang Serai CC,"1 Engku Aman Turn, CC Office Entrance, Singapore 408528",1,Engku Aman Turn,"Wisma Geylang Serai CC, Office Entrance",408528,1.31649443408571,103.896941669743,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
171,ALBA E-waste Smart Recycling Pte Ltd,Fairprice @ Singpost Centre,"10 Eunos Rd 8, Singpost Centre #B1-101 to 107, Singapore 408600",10,Eunos Rd 8,Singpost Centre #B1-101 to 107,408600,1.31883826160863,103.894582338015,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
172,ALBA E-waste Smart Recycling Pte Ltd,Singtel @ Comcentre,"31B Exeter Road, Comcentre, Singapore 239733",31B,Exeter Road,Comcentre,239733,1.29897550209371,103.838406398690,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
173,ALBA E-waste Smart Recycling Pte Ltd,Fajar Shopping Centre,"445 Fajar Road, Fajar Shopping Centre, Common Corridor, Singapore 670445",445,Fajar Road,"Fajar Shopping Centre, Common Corridor",670445,1.38357469942896,103.770868459633,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
174,ALBA E-waste Smart Recycling Pte Ltd,Cold Storage @ Guthrie House,"1 Fifth Avenue, Guthrie House, #01-05 , Singapore 268802",1,Fifth Avenue,"Guthrie House, #01-05",268802,1.33077492770988,103.795713392342,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
175,ALBA E-waste Smart Recycling Pte Ltd,Cold Storage @ Siglap V,"2 First Street, #01-05, Singapore 458278",2,First Street,"2 First Street, #01-05",458278,1.31275329709404,103.923657863473,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
