postcode,block_number,latitude,longitude
92017,17,1.27729,103.82194
81008,8,1.30319,103.85077
153028,28,1.28704,103.80996
751480,480,1.45195,103.81482
751323,323,1.44526,103.81835
821296,296,1.40133,103.90538
530134,134,1.35046,103.88651
670607,607,1.38252,103.76152
120710,710,1.30626,103.76152
120329,329,1.31307,103.76734
600043,43,1.3211,103.74167
600044,44,1.32075,103.7416
600045,45,1.32005,103.74113
823271,271,1.40394,103.90103
823272,272,1.40286,103.90007
824271,271,1.40351,103.90089
822271,271,1.40417,103.90058
824272,272,1.40273,103.90046
790433,433,1.3944,103.87768
821271,271,1.40375,103.90032
641855,855,1.34715,103.69574
151084,84,1.28726,103.81903
541182,182,1.39045,103.90889
542182,182,1.39073,103.90954
531988,988,1.37947,103.87727
532988,988,1.37989,103.87741
141087,87,1.29573,103.80976
142088,88,1.29579,103.80926
141086,86,1.29565,103.81023
142086,86,1.29607,103.81056
730571,571,1.43036,103.79029
670486,486,1.38924,103.77162
670488,488,1.38953,103.77141
671487,487,1.38937,103.77109
670485,485,1.38868,103.77131
670487,487,1.38917,103.77111
578273,273,1.35599,103.84372
572273,273,1.35607,103.84347
571273,273,1.35637,103.84393
310052,52,1.33825,103.85248
561207,207,1.36604,103.84223
760609,609,1.42099,103.83608
143050,50,1.30126,103.79742
641811,811,1.34659,103.6961
392030,30,1.30969,103.88348
821272,272,1.40315,103.90067
820272,272,1.40285,103.90077
822272,272,1.4033,103.90024
640221,221,1.34635,103.71243
563307,307,1.36556,103.84517
562307,307,1.36583,103.84463
600352,352,1.34492,103.7304
561308,308,1.36548,103.84409
562308,308,1.36523,103.84443
332008,8,1.31641,103.86116
572275,275,1.35658,103.84372
571275,275,1.35674,103.84352
730572,572,1.43093,103.7893
731572,572,1.43087,103.78955
733571,571,1.43038,103.78993
732572,572,1.43161,103.78961
733570,570,1.43147,103.78998
31013,139,1.33623,103.84434
520894,894,1.3486,103.93192
520248,248,1.34372,103.95342
520248,248,1.34372,103.95342
470721,721,1.33629,103.9261
120325,325,1.3151,103.76682
460123,123,1.3292,103.93734
524201,201,1.35226,103.95359
590019,19,1.33996,103.7739
824172,172,1.39501,103.91196
562130,130,1.37077,103.84135
541252,252,1.39372,103.90047
460073,73,1.31984,103.94397
162052,52,1.28985,103.82865
161055,55,1.29007,103.82925
161058,58,1.29009,103.828
120716,716,1.30241,103.7628
162054,54,1.28963,103.82917
161052,52,1.28952,103.82847
161054,54,1.28931,103.82923
272023,23,1.30847,103.7865
270025,25,1.30816,103.78626
730306,306,1.42993,103.77464
161053,53,1.28934,103.82892
790435,435,1.39323,103.87695
162127,127,1.28186,103.82998
820268,268,1.40354,103.89714
561307,307,1.3661,103.84452
563310,310,1.36461,103.84485
564310,310,1.36458,103.84518
460201,201,1.32613,103.92792
760119,119,1.43539,103.82918
564588,588,1.37175,103.85388
563588,588,1.37183,103.85367
562588,588,1.37198,103.85315
561588,588,1.37208,103.85279
